500,"Athletics Men's Cross-Country, Individual",Athletics
501,"Athletics Men's Cross-Country, Team",Athletics
502,Sailing Mixed 40 metres,Sailing
503,Cross Country Skiing Men's 10/10 kilometres Pursuit,Cross Country Skiing
504,"Ski Jumping Women's Normal Hill, Individual",Ski Jumping
505,"Short Track Speed Skating Men's 1,000 metres",Short Track Speed Skating
506,"Short Track Speed Skating Men's 1,500 metres",Short Track Speed Skating
507,Gymnastics Men's Club Swinging,Gymnastics
508,Tennis Women's Singles,Tennis
509,Tennis Mixed Doubles,Tennis
510,Tennis Women's Doubles,Tennis
511,Judo Women's Middleweight,Judo
512,Judo Women's Lightweight,Judo
513,Cross Country Skiing Men's Team Sprint,Cross Country Skiing
514,Snowboarding Women's Halfpipe,Snowboarding
515,"Canoeing Women's Kayak Singles, 200 metres",Canoeing
516,Canoeing Men's Kayak Relay 4 x 500 metres,Canoeing
517,"Athletics Men's 3,000 metres, Team",Athletics
518,Cross Country Skiing Women's Sprint,Cross Country Skiing
519,"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards",Shooting
520,"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",Shooting
521,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",Shooting
522,"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards",Shooting
523,"Shooting Men's Military Pistol, Team",Shooting
524,Rowing Women's Coxed Fours,Rowing
525,"Weightlifting Men's Unlimited, One Hand",Weightlifting
526,"Canoeing Men's Canadian Singles, 500 metres",Canoeing
527,"Fencing Men's Foil, Masters, Individual",Fencing
528,"Fencing Men's epee, Masters, Individual",Fencing
529,"Gymnastics Men's Individual All-Around, Field Sports",Gymnastics
530,"Gymnastics Men's Individual All-Around, Apparatus Work",Gymnastics
531,"Art Competitions Mixed Music, Compositions For Solo Or Chorus",Art Competitions
532,"Fencing Women's epee, Team",Fencing
533,"Swimming Men's 4,000 metres Freestyle",Swimming
534,Swimming Men's Underwater Swimming,Swimming
535,Sailing Mixed Skiff,Sailing
